Date,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-03-01,23.893762588500977,21.152475357055664,45.15129089355469,30.08349609375,120.62512969970703,65.81999969482422,18.218568801879883,37.39143371582031,89.48682403564453,100.91889953613281,409.9200134277344,15.028258323669434
2007-03-02,23.669532775878906,20.922204971313477,44.41361999511719,29.686613082885742,120.70744323730469,63.709999084472656,17.843158721923828,36.82793045043945,89.53617095947266,99.59736633300781,408.0799865722656,14.66039752960205
2007-03-05,23.624691009521484,20.278470993041992,43.76816177368164,29.15365219116211,119.79302215576172,62.93000030517578,17.434614181518555,36.541831970214844,89.51973724365234,98.64928436279297,396.9599914550781,14.530380249023438
2007-03-06,23.499120712280273,21.11045265197754,44.81318283081055,29.9814453125,120.11305236816406,64.1500015258789,18.29365348815918,37.14871597290039,89.52796173095703,100.3371353149414,402.55999755859375,14.707967758178711
2007-03-07,23.714380264282227,21.038177490234375,44.72098159790039,29.924732208251953,120.64341735839844,64.30000305175781,18.14017677307129,37.00131607055664,89.5607681274414,100.23660278320312,410.32000732421875,14.650886535644531
2007-03-08,23.696441650390625,21.291976928710938,45.12055587768555,30.230913162231445,120.25933074951172,64.4800033569336,18.503442764282227,37.25272750854492,89.56900024414062,101.08413696289062,410.32000732421875,14.711138725280762
2007-03-09,23.597780227661133,21.428117752075195,45.15129089355469,30.327302932739258,120.03986358642578,64.25,18.73200225830078,37.218055725097656,89.5607681274414,101.11286163330078,400.8800048828125,14.733335494995117
2007-03-12,23.436336517333984,21.802928924560547,45.520118713378906,30.395320892333984,120.83543395996094,64.37000274658203,18.90093994140625,37.4608039855957,89.58544921875,101.26362609863281,394.79998779296875,14.853842735290527
2007-03-13,23.221078872680664,21.172639846801758,44.690250396728516,29.59590721130371,120.80802154541016,63.720001220703125,18.25169563293457,36.732547760009766,89.64299774169922,99.29570007324219,391.5199890136719,14.57160472869873
2007-03-14,23.30179786682129,21.337356567382812,44.29067611694336,29.686613082885742,121.08234405517578,63.939998626708984,18.47804832458496,37.27009201049805,89.65119934082031,100.0354995727539,393.1199951171875,14.635031700134277
2007-03-15,22.960973739624023,21.570980072021484,44.321407318115234,29.828365325927734,121.21035766601562,63.97999954223633,18.607229232788086,37.183353424072266,89.64299774169922,100.17192840576172,389.3599853515625,14.669914245605469
2007-03-16,23.24798583984375,21.534006118774414,44.29067611694336,29.97818946838379,121.9693832397461,64.62000274658203,18.417314529418945,37.154747009277344,89.65943145751953,99.8914566040039,387.3599853515625,14.584288597106934
2007-03-19,23.310766220092773,21.886964797973633,44.78245162963867,30.44925880432129,121.83220672607422,64.73999786376953,18.80929183959961,37.53645324707031,89.65943145751953,101.09568786621094,389.6000061035156,14.676254272460938
2007-03-20,23.481182098388672,22.038246154785156,45.18202209472656,30.710338592529297,122.05167388916016,65.2699966430664,19.03122901916504,37.80537033081055,89.68413543701172,101.65089416503906,387.67999267578125,14.787246704101562
2007-03-21,23.606748580932617,22.581125259399414,45.673789978027344,31.391422271728516,122.67352294921875,65.81999969482422,19.668323516845703,38.53407669067383,89.74165344238281,103.32378387451172,390.3999938964844,15.0980224609375
2007-03-22,23.633655548095703,22.50213050842285,45.735267639160156,31.368698120117188,122.22544860839844,65.76000213623047,19.59876251220703,38.395263671875,89.71698760986328,103.24443817138672,401.44000244140625,15.113877296447754
2007-03-23,23.570873260498047,22.48195457458496,45.79673385620117,31.544626235961914,121.83220672607422,65.1500015258789,19.64293098449707,38.273807525634766,89.74986267089844,103.39594268798828,404.55999755859375,15.180474281311035
2007-03-26,23.140356063842773,22.626502990722656,45.55085372924805,31.50489616394043,122.2162857055664,65.83999633789062,19.64293098449707,38.42996597290039,89.7580795288086,103.25887298583984,409.3599853515625,15.180474281311035
2007-03-27,23.24798583984375,22.512216567993164,45.36643600463867,31.419771194458008,122.43572998046875,65.69999694824219,19.47399139404297,38.161033630371094,89.78276824951172,103.01370239257812,409.6000061035156,15.177300453186035
2007-03-28,23.382522583007812,22.23824691772461,45.028343200683594,31.130327224731445,122.02426147460938,66.05000305175781,19.21010398864746,37.75331497192383,89.80741882324219,102.2637710571289,416.0,15.158275604248047
2007-03-29,23.400461196899414,22.44666290283203,45.089813232421875,31.561674118041992,122.24371337890625,65.6500015258789,19.71249008178711,37.796695709228516,89.83206176757812,102.37196350097656,428.9599914550781,15.151935577392578
2007-03-30,22.593238830566406,22.581125259399414,44.78245162963867,31.58435821533203,122.47234344482422,65.73999786376953,19.693721771240234,37.761993408203125,89.83206176757812,102.39360809326172,426.79998779296875,15.30097770690918
2007-04-02,22.48560905456543,22.695417404174805,44.536556243896484,31.74895668029785,122.69051361083984,65.8499984741211,19.979700088500977,37.814048767089844,89.83618927001953,102.50898742675781,428.4800109863281,15.364402770996094
2007-04-03,22.315195083618164,23.113929748535156,44.90540313720703,32.09517288208008,122.33294677734375,65.83000183105469,20.308738708496094,38.308509826660156,89.85269927978516,103.61222839355469,419.67999267578125,15.516621589660645
2007-04-04,22.584272384643555,23.2618350982666,45.24348831176758,32.276790618896484,122.58050537109375,66.80999755859375,20.404800415039062,38.46467208862305,89.902099609375,103.72760772705078,418.6400146484375,15.599071502685547
2007-04-05,22.808496475219727,23.39630126953125,45.12055587768555,32.57191467285156,123.23143768310547,66.86000061035156,20.493131637573242,38.6555061340332,89.8938980102539,104.00887298583984,416.0799865722656,15.840082168579102
