data
	^DJI	AAPL	AXP	BA	CAT	CSCO	CVX	DD	DIS	GE	GS	HD	IBM	INTC	JNJ	JPM	KO	MCD	MMM	MRK	MSFT	NKE	PFE	PG	TRV	UNH	UTX	V	VZ	WMT	XOM	
20150904	16102.38	109.27	73.8	129.76	72.29	25.32	76.67	48.6	100.97	23.79	180.38	114.42	143.7	28.52	91.31	61.06	38.19	94.85	139.84	51.15	42.61	109.69	31.37	68.15	97.15	111.88	90.68	69.16	44.25	63.89	72.46	
20150908	16492.68	112.31	75.21	133.82	73.48	26.09	76.84	49.61	104.01	24.74	185.88	116.43	147.23	29.5	93.94	62.71	38.57	96.78	143.43	52.24	43.89	111.75	32.53	69.36	99.65	115.59	92.82	70.53	45.29	66.38	73.5	
20150909	16253.57	110.15	74.84	132.65	72.15	25.73	74.92	48.84	101.91	24.33	185.68	113.97	145.05	29.24	92.22	61.73	37.97	95.43	140.86	51.49	43.07	109.86	31.96	67.87	98.48	115.08	91.85	69.6	44.81	65.12	72	
20150910	16330.4	112.57	75.03	133.55	71.62	26.05	75.66	48.62	102.6	24.46	185.91	114.49	146.2	29.27	92.72	62.21	38.09	95.25	140.78	52.27	43.29	110.38	32.62	67.71	99.09	116.77	91.4	70.23	44.88	64.12	72.52	
20150911	16433.09	114.21	75.22	134.67	71.83	25.81	75.79	48.44	104.48	24.73	185.27	115.44	147.37	29.47	92.93	62.11	38.13	97.41	141.26	52.09	43.48	111.82	32.97	67.81	99.49	118.7	92.33	70.76	45.14	64.65	72.69	
20150914	16370.96	115.31	74.86	134.43	71.97	25.49	75.77	47.98	103.82	24.55	183.94	114.73	145.65	29.39	93.32	61.93	38.1	96.97	140.81	52.34	43.04	111.89	32.71	67.45	99.28	117.8	91.83	70.01	45.06	64.28	72.49	
20150915	16599.85	116.28	76.21	136.3	73.76	25.77	77.17	48.3	103.43	25.08	187.45	116.18	147.53	29.73	94.4	63.12	38.5	98.19	143.6	53.55	43.98	113.84	33.17	68.83	100.86	120.03	92.68	70.51	45.78	64.32	72.86	
20150916	16739.95	116.41	77.03	137.2	74.8	25.86	79.02	48.41	103.96	25.7	188.64	117.82	148.41	29.77	94.61	63.68	39.15	98.69	144.2	53.87	44.3	115.58	33.18	69.48	101.91	121.15	93.94	70.99	45.6	64.69	74.3	
20150917	16674.74	113.92	76.77	137.45	73.24	25.67	79.41	48.08	104.2	25.35	186.45	117.91	148.14	29.71	94.84	62.2	39.38	97.84	142.95	53.96	44.25	115.27	33.48	69.61	101.66	123.26	93.31	70.96	44.65	64.47	74.46	
20150918	16384.58	113.45	75.66	136.09	71.07	25.34	77.74	47.53	102.84	24.8	180.94	115.12	144.51	29.02	93.39	60.5	38.98	97.05	139.62	52.13	43.48	115.05	32.85	69.32	99.66	122.47	91.07	69.79	44	63.34	72.68	
20150921	16510.19	115.21	76.45	136.02	71.36	25.34	78.09	48.24	103.41	25.09	183.35	116.58	146.48	29.16	93.13	61.01	39.19	97.9	140.04	50.98	44.11	116.56	32.42	70.02	100.52	123.94	91.55	70.78	44.23	63.72	73.39	
20150922	16330.47	113.4	75.42	133.99	70.89	24.94	77.25	48.57	102.49	25.11	179.72	115.8	144.43	28.67	93.24	60.47	38.79	97.2	138.02	50.74	43.9	115.97	32.26	69.56	98.98	122.93	88.2	70.25	43.86	63.59	72.74	
20150923	16279.89	114.32	75.34	131.67	69.42	25.08	76.12	47.91	101.57	25.14	179.41	116.17	143.66	28.74	92.99	60.21	38.76	97.38	137.66	51.03	43.87	115.43	32.62	69.63	99.08	123.28	86.96	70.95	43.42	63.72	72.3	
20150924	16201.32	115	74.41	129.75	65.07	25.21	76.89	48.03	100.62	24.91	176.91	116.34	144.41	28.48	92.48	59.79	39.15	97.29	137.58	50.59	43.91	114.79	32.7	70.72	98.86	121.09	86.82	70.24	43.52	63.83	72.73	
20150925	16314.67	114.71	74.82	131.01	64.26	25.82	77.7	48.55	100.3	24.92	179.83	116.74	145.42	28.81	91	61.03	39.62	97.59	139.56	49.6	43.94	125	31.89	72.02	99.91	116.37	87.3	70.69	43.65	63.78	73.23	
20150928	16001.89	112.44	73.06	128.13	63.08	25.45	75.77	47.32	98.49	24.31	173.02	114.1	142.52	28.76	91.37	59.55	39.53	95.96	138.38	48.42	43.29	122.14	30.82	71.13	99.08	112.7	86.83	67.2	43.18	63.66	72.6	
20150929	16049.13	109.06	72.82	128.75	63.6	25.43	76.25	47.5	99.42	24.57	171.86	112.91	142.47	29.24	93.04	59.41	39.66	97.48	141.55	48.65	43.44	119.67	31.02	71.64	99.47	114.22	87.98	68.53	42.97	63.78	72.97	
20150930	16284.7	110.3	73.85	130.95	64.64	26.04	78.88	48.2	102.2	25.22	173.76	115.49	144.97	30.14	93.35	60.53	40.12	98.53	141.77	49.39	44.26	122.97	31.41	71.3	99.53	116.01	88.99	69.66	42.95	64.84	74.35	
20151001	16272.01	109.58	73.61	130.61	63.68	25.73	78.34	48.35	102.67	25.19	176.02	117.03	143.59	30	93.17	60.98	39.8	98.78	140.8	49.37	44.61	123.83	31.84	71.31	98.34	116.61	88.36	69.99	42.41	64.27	74.06	
20151002	16472.37	110.38	74.13	132.56	64.97	25.76	81.55	49.26	103	25.47	177.01	117.81	144.58	30.51	93.93	60.81	40.39	99.79	143.2	50.14	45.57	125.21	33.08	71.77	100.03	118.83	89.77	70.67	42.29	64.98	75.88	
20151005	16776.43	110.78	77.01	134.02	68.42	26.85	84.03	51.28	103.85	26.82	180.7	119.2	149.04	31.21	94.76	62.02	41.01	101.17	146.32	51.23	46.63	124.27	33.48	72.57	101.86	119.65	92.26	72.23	43.44	65.87	76.81	
20151006	16790.19	111.31	76.62	134.63	70.04	27.23	86.99	55.21	103.77	27.29	180.32	118.68	148.78	31.74	93.42	62.05	40.96	101.9	145.79	49.8	46.75	123.19	32.79	72.75	101.07	116.05	92.55	72.08	43.5	65.68	77.89	
20151007	16912.29	110.78	77.18	137.02	69.6	27.54	88.12	55.38	103.39	27.77	182.23	119.65	150.09	32.32	94.98	62.13	41.52	101.77	147.54	50.95	46.8	122.1	33.29	73.06	102.17	116.43	93.51	73.22	43.85	66.36	79.2	
20151008	17050.75	109.5	77.18	139.04	71.05	27.91	89.91	56.13	104.61	28.03	181.07	121.06	152.28	32.52	95.08	62.13	41.98	102.95	149.48	51.02	47.45	124.91	33.09	73.74	103.09	116.08	94.33	73.9	44.23	66.88	80.03	
20151009	17084.49	112.12	77.33	139.7	70.51	27.91	89.57	56.18	105.56	28.07	179.19	121.33	152.39	32.14	95.37	61.93	42.02	102.76	149.9	50.95	47.11	124.94	33.24	73.82	102.94	119.27	95.37	73.98	44.16	66.69	79.26	
20151012	17131.86	111.6	77.31	140.68	69.72	27.96	88.74	55.66	106.35	28.09	180.23	121.9	151.14	32.21	95.99	61.72	42	103.24	150.06	50.71	47	126.43	33.22	73.67	103.72	122.51	95.43	74.99	44.3	66.93	79.3	
20151013	17081.89	111.79	76.6	140.29	69.39	27.85	88.38	55.76	106.59	27.87	180.97	121.61	149.62	32.04	95.45	61.55	41.65	103.38	149.11	49.47	46.89	125.81	32.98	73.45	103.31	123.99	94.28	75	44.36	66.73	79.16	
20151014	16924.75	110.21	76.17	134.22	69.93	27.82	89.76	56.4	105.73	27.6	179.51	120.27	150.01	32.8	94.53	59.99	41.68	102.82	148.32	49.54	46.68	125.84	33.04	73.55	102.77	122.07	92.17	74.2	43.99	60.03	80.16	
20151015	17141.75	111.86	76.74	137.39	70.05	28.15	90.72	56.7	107.89	28.03	184.96	121.81	150.09	32.75	97.15	61.89	41.92	103.66	149.19	50.72	47.01	128.79	34.08	73.61	104.96	120.17	93.18	75.34	44.67	59.33	81.48	
20151016	17215.97	111.04	77.21	137.6	68.91	28.25	91.29	57.27	108.24	28.98	185.18	122.74	150.39	33.04	98.24	62.43	42.02	104.82	148.7	51.48	47.51	130.47	34.41	74.23	105.9	119.98	93	76	44.7	58.89	82.48	
20151019	17230.54	111.73	77	138.42	68.5	28.25	90.03	57.05	109.47	28.99	185.74	123.1	149.22	33.59	97.94	62.22	41.99	104.49	148	51.4	47.62	133.21	34.5	74.49	106.32	120.73	92.05	76.99	44.7	58.85	80.99	
20151020	17217.11	113.77	76.95	138.88	69.49	28.5	89.99	57.19	109.84	28.78	185.51	122.85	140.64	33.44	97.59	62.52	42.29	103.84	149.11	50.39	47.77	132.37	34	73.77	108.95	120.42	95.62	76.28	45.24	58.75	80.83	
20151021	17168.61	113.76	76.51	141.19	68.9	28.28	89.33	57.28	110.09	28.85	179.7	123.3	140.92	33.37	97.63	62.06	42.19	102.54	149.82	50.59	47.2	132.47	33.46	73.59	110.7	118.11	97.97	75.46	44.86	58.64	80.21	
20151022	17489.16	115.5	72.5	146.31	70.88	29.01	91.62	59.19	113.25	29.58	183.56	124.36	144.09	34.4	99.53	63.19	43.24	110.87	156	52.01	48.03	132.41	33.33	74.85	112.32	113.81	99.79	76.42	45.89	58.9	82.89	
20151023	17646.7	119.08	74.59	146.7	71.75	29.35	91.24	60.27	113.09	29.51	185.5	124.61	144.68	34.9	100.31	63.87	42.79	112.59	155.79	52.88	52.87	130.53	34.05	77.03	112.28	115.92	100.62	77.07	46.16	58.3	82.98	
20151026	17623.05	115.28	74.19	146.7	71.52	28.95	88.77	60.37	113.52	29.55	187.01	125.01	143.66	34.59	99.94	63.9	42.59	112.18	156.54	52.91	54.25	131.38	34.16	77.49	112.77	116.53	100.23	78.18	46.36	58.02	81.22	
