Date,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-03-01,23.893762588500977,21.15247344970703,45.15127944946289,30.083486557006836,120.6251220703125,65.81999969482422,18.218564987182617,37.39145278930664,89.48677825927734,100.91893768310547,409.9200134277344,15.028258323669434
2007-03-02,23.669532775878906,20.922204971313477,44.41361999511719,29.68661117553711,120.70742797851562,63.709999084472656,17.843156814575195,36.82794952392578,89.5361328125,99.59737396240234,408.0799865722656,14.66039752960205
2007-03-05,23.62468719482422,20.278472900390625,43.76815414428711,29.153663635253906,119.79300689697266,62.93000030517578,17.434619903564453,36.541839599609375,89.51968383789062,98.6492691040039,396.9599914550781,14.530379295349121
2007-03-06,23.49911880493164,21.110454559326172,44.813194274902344,29.9814395904541,120.11307525634766,64.1500015258789,18.29365348815918,37.14870071411133,89.52789306640625,100.33712005615234,402.55999755859375,14.707967758178711
2007-03-07,23.714380264282227,21.038177490234375,44.72098922729492,29.92473602294922,120.64344787597656,64.30000305175781,18.140172958374023,37.00131607055664,89.5608139038086,100.23656463623047,410.32000732421875,14.650885581970215
2007-03-08,23.696441650390625,21.291980743408203,45.12055206298828,30.230907440185547,120.25932312011719,64.4800033569336,18.50343894958496,37.25272750854492,89.5689926147461,101.08412170410156,410.32000732421875,14.711139678955078
2007-03-09,23.597782135009766,21.42812156677246,45.15127944946289,30.327289581298828,120.03990936279297,64.25,18.73200035095215,37.21806335449219,89.5608139038086,101.11282348632812,400.8800048828125,14.733339309692383
2007-03-12,23.43633270263672,21.80292510986328,45.52012252807617,30.395326614379883,120.83547973632812,64.37000274658203,18.900936126708984,37.46080017089844,89.58541870117188,101.26367950439453,394.79998779296875,14.853839874267578
2007-03-13,23.22107696533203,21.17263412475586,44.690242767333984,29.595905303955078,120.8079605102539,63.720001220703125,18.25169563293457,36.732566833496094,89.64303588867188,99.29570770263672,391.5199890136719,14.571605682373047
2007-03-14,23.301799774169922,21.337356567382812,44.29066848754883,29.68661117553711,121.08235168457031,63.939998626708984,18.47804832458496,37.27006530761719,89.65122985839844,100.0354995727539,393.1199951171875,14.635030746459961
2007-03-15,22.96097183227539,21.570981979370117,44.32140350341797,29.828365325927734,121.21035766601562,63.97999954223633,18.60723876953125,37.18336868286133,89.64303588867188,100.17196655273438,389.3599853515625,14.669914245605469
2007-03-16,23.247983932495117,21.534008026123047,44.29066848754883,29.978195190429688,121.9693832397461,64.62000274658203,18.417320251464844,37.15473556518555,89.65946197509766,99.89146423339844,387.3599853515625,14.584290504455566
2007-03-19,23.310766220092773,21.886964797973633,44.78245162963867,30.449260711669922,121.83219146728516,64.73999786376953,18.80929183959961,37.536441802978516,89.65946197509766,101.09564971923828,389.6000061035156,14.67625617980957
2007-03-20,23.481182098388672,22.03824234008789,45.18202209472656,30.710338592529297,122.05171203613281,65.2699966430664,19.03122901916504,37.805381774902344,89.68408966064453,101.65089416503906,387.67999267578125,14.787247657775879
2007-03-21,23.606748580932617,22.581125259399414,45.673797607421875,31.39139175415039,122.67349243164062,65.81999969482422,19.668323516845703,38.534053802490234,89.74165344238281,103.32379913330078,390.3999938964844,15.0980224609375
2007-03-22,23.633657455444336,22.50212860107422,45.735267639160156,31.36869239807129,122.22543334960938,65.76000213623047,19.598758697509766,38.3952522277832,89.71697998046875,103.24442291259766,401.44000244140625,15.113879203796387
2007-03-23,23.570873260498047,22.481956481933594,45.79673767089844,31.544645309448242,121.83219146728516,65.1500015258789,19.64293098449707,38.27381134033203,89.7498779296875,103.39586639404297,404.55999755859375,15.180474281311035
2007-03-26,23.140356063842773,22.626502990722656,45.55085372924805,31.504915237426758,122.2162857055664,65.83999633789062,19.64293098449707,38.42995834350586,89.75811767578125,103.25889587402344,409.3599853515625,15.180474281311035
2007-03-27,23.247983932495117,22.51221466064453,45.36643981933594,31.419780731201172,122.43571472167969,65.69999694824219,19.47399139404297,38.161033630371094,89.78276062011719,103.01372528076172,409.6000061035156,15.1773042678833
2007-03-28,23.382522583007812,22.238248825073242,45.02834701538086,31.13032341003418,122.02427673339844,66.05000305175781,19.210102081298828,37.753292083740234,89.80743408203125,102.26383209228516,416.0,15.15827751159668
2007-03-29,23.40045928955078,22.44666862487793,45.089820861816406,31.56165313720703,122.24366760253906,65.6500015258789,19.712495803833008,37.79669952392578,89.83209228515625,102.3719482421875,428.9599914550781,15.151931762695312
2007-03-30,22.593236923217773,22.581125259399414,44.78245162963867,31.584367752075195,122.47234344482422,65.73999786376953,19.693721771240234,37.76201248168945,89.83209228515625,102.39363861083984,426.79998779296875,15.30097770690918
2007-04-02,22.48560905456543,22.695409774780273,44.53656768798828,31.748958587646484,122.69058990478516,65.8499984741211,19.979694366455078,37.814056396484375,89.83621215820312,102.50897979736328,428.4800109863281,15.36440372467041
2007-04-03,22.315195083618164,23.11393165588379,44.9053955078125,32.09516906738281,122.33300018310547,65.83000183105469,20.308732986450195,38.30852127075195,89.85265350341797,103.61221313476562,419.67999267578125,15.516615867614746
2007-04-04,22.58426856994629,23.261837005615234,45.243499755859375,32.27678680419922,122.58048248291016,66.80999755859375,20.40479278564453,38.46466064453125,89.90213775634766,103.72760009765625,418.6400146484375,15.599072456359863
2007-04-05,22.80849838256836,23.396297454833984,45.12055206298828,32.5719108581543,123.23143768310547,66.86000061035156,20.493127822875977,38.655517578125,89.89387512207031,104.0088119506836,416.0799865722656,15.840079307556152
